@RELATION bachelor

@ATTRIBUTE season numeric
@ATTRIBUTE name string
@ATTRIBUTE contestant_name string
@ATTRIBUTE age numeric
@ATTRIBUTE hometown numeric
@ATTRIBUTE occupation string
@ATTRIBUTE enliminated numeric
@ATTRIBUTE haircolor {Blonde,Brown,Red,Lightbrown,Black,Bald}
@ATTRIBUTE ethnicity {Caucasion,AfricanAmerican,Asian,Hispanic,European,}
@ATTRIBUTE limoordere numeric

@DATA
3,JenniferScheft,Chris,27,3,Hairdresser,2,Blonde,Caucasion,3
3,JenniferScheft,MattL.,33,4,Lawyer,1,Brown,Caucasion,24
4,DeAnnaPappas,JesseCsincsak,26,1,ProfessionalSnowboarder,25,Brown,Caucasion,8
4,DeAnnaPappas,JasonMesnick,31,1,AccountExecutive,24,Brown,Hispanic,6
4,DeAnnaPappas,Jeremy,30,3,RealEstateAttorney,23,Brown,Caucasion,25
4,DeAnnaPappas,Graham,29,3,ProfessionalBasketballPlayer,22,Brown,Caucasion,3
4,DeAnnaPappas,Sean,33,3,MartialArtsMaster,21,Brown,Caucasion,4
4,DeAnnaPappas,Twilley,33,3,DebtManager,20,Brown,Caucasion,15
4,DeAnnaPappas,BrianW.,31,3,HighSchoolFootballCoach,19,Blonde,Caucasion,1
4,DeAnnaPappas,Fred,30,2,Lawyer,18,Brown,Caucasion,23
4,DeAnnaPappas,Robert,28,1,Chef,17,Brown,Caucasion,20
4,DeAnnaPappas,Ron,36,2,BarberShopOwner,16,Brown,Hispanic,16
4,DeAnnaPappas,Richard,27,4,Scientist,15,Brown,Caucasion,5
4,DeAnnaPappas,Paul,23,6,SalesManager,14,Brown,Caucasion,2
4,DeAnnaPappas,Eric,31,4,SeniorAnalyst,13,Brown,Hispanic,19
4,DeAnnaPappas,Chris,29,3,MedicalSales,12,Brown,Hispanic,10
4,DeAnnaPappas,Ryan,28,2,ProfessionalFootballPlayer,11,Brown,Hispanic,14
4,DeAnnaPappas,Jeffrey,27,3,MathTeacher,10,Brown,AfricanAmerican,12
4,DeAnnaPappas,BrianW.,29,2,ComputerConsultant,9,Brown,Caucasion,11
4,DeAnnaPappas,Chandler,25,3,InsuranceRepresentative,8,Blonde,Caucasion,21
4,DeAnnaPappas,Donato,26,3,SalesRepresentative,7,Brown,Caucasion,13
4,DeAnnaPappas,Greg,28,4,PersonalTrainer,6,Brown,Caucasion,22
4,DeAnnaPappas,Luke,27,3,OysterFarmer,5,Brown,Caucasion,18
4,DeAnnaPappas,PatrickC.,26,2,FinancialAnalyst,4,Brown,Caucasion,17
4,DeAnnaPappas,PatrickD.,27,2,InternetMarketer,3,Brown,Caucasion,24
4,DeAnnaPappas,Jon,35,3,ResortManager,2,Blonde,Caucasion,9
4,DeAnnaPappas,Spero,38,1,Actor,1,Brown,Hispanic,7
5,JillianHarris,EdSwiderski,29,2,TechnologyConsultant,30,Brown,Caucasion,?
5,JillianHarris,Kiptyn,31,1,BusinessDeveloper,29,Brown,Caucasion,1
5,JillianHarris,Reid,30,4,Realtor,28,Brown,Caucasion,?
5,JillianHarris,Wes,32,3,Musician,27,Brown,Caucasion,17
5,JillianHarris,Jesse,27,1,WineMaker,26,Brown,Caucasion,15
5,JillianHarris,Michael,25,4,BreakDanceInstructor,25,Blonde,Caucasion,8
5,JillianHarris,JakePavelka,31,3,CommercialPilot,24,Blonde,Caucasion,5
5,JillianHarris,TannerP.,30,3,FinancialAnalyst,23,Brown,Caucasion,?
5,JillianHarris,Robby,25,3,Bartender,22,Brown,Caucasion,9
5,JillianHarris,Mark,26,1,PizzaEntrepreneur,21,Brown,Caucasion,25
5,JillianHarris,David,27,2,TruckingContractor,20,Brown,Caucasion,6
5,JillianHarris,Jaun,35,1,GeneralContractor,19,Brown,Caucasion,21
5,JillianHarris,Mike,28,4,BaseballCampOwner,18,Brown,Caucasion,?
5,JillianHarris,TannerF.,28,1,SalesRepresentative,17,Blonde,Caucasion,7
5,JillianHarris,Brad,27,2,FinancialAdvisor,16,Blonde,Caucasion,12
5,JillianHarris,Sasha,27,3,Oil&GasConsultant,15,Blonde,Caucasion,11
5,JillianHarris,Brian,32,3,ITConsultant,14,Brown,Caucasion,4
5,JillianHarris,Julien,34,1,Restauranteur,13,Brown,Caucasion,16
5,JillianHarris,Mathue,26,2,PersonalTrainer,12,Blonde,Caucasion,13
5,JillianHarris,Simon,26,3,SoccerCoach,11,Blonde,Caucasion,14
5,JillianHarris,Greg,31,1,Entrepreneur,10,Brown,Hispanic,24
5,JillianHarris,Stephen,30,4,Lawyer,9,Brown,Caucasion,20
5,JillianHarris,Kyle,26,4,GraphicDesigner,8,Brown,Caucasion,18
5,JillianHarris,Josh,25,1,Lifegaurd,7,Brown,Caucasion,23
5,JillianHarris,JohnP.,29,4,MarketingSpecialist,6,Blonde,Caucasion,3
5,JillianHarris,JohnH.,27,1,BrandingConsultant,5,Brown,Caucasion,10
5,JillianHarris,Caleb,27,3,Photographer,4,Brown,Caucasion,22
5,JillianHarris,Bryce,31,3,FurnitureDealer,3,Brown,Caucasion,?
5,JillianHarris,Bryan,28,3,HighSchoolCoach,2,Blonde,Caucasion,2
5,JillianHarris,Adam,27,1,OlympicCyclist,1,Blonde,Caucasion,19
6,AliFedotowsky,RobertoMartinez,26,3,InsuranceAgent,25,Brown,Hispanic,11
6,AliFedotowsky,ChrisL.,33,4,Landscaper,24,Brown,Caucasion,2
6,AliFedotowsky,Frank,31,2,RetailManager,23,Brown,Caucasion,4
6,AliFedotowsky,Kirk,27,2,SalesConsultant,22,Blonde,Caucasion,19
6,AliFedotowsky,Ty,31,3,MedicalSales,21,Brown,Caucasion,3
6,AliFedotowsky,CraigR.,27,4,Lawyer,20,Brown,Caucasion,17
6,AliFedotowsky,Justin,26,6,EntertainmentWrestler,19,Brown,Caucasion,5
6,AliFedotowsky,Kasey,27,1,AdvertisingAccountExecutive,18,Blonde,Caucasion,8
6,AliFedotowsky,ChrisN.,29,3,Entrepreneur,17,Brown,Caucasion,7
6,AliFedotowsky,Jonathon,30,4,Weatherman,16,Brown,Caucasion,16
6,AliFedotowsky,Jesse,24,2,GeneralContractor,15,Brown,Caucasion,1
6,AliFedotowsky,Hunter,28,3,InternetAccountExecutive,14,Brown,Caucasion,21
6,AliFedotowsky,Steve,28,2,SalesRepresentative,13,Brown,Caucasion,18
6,AliFedotowsky,JohnC.,32,1,HotelBusinessDevelopment,12,Brown,Caucasion,13
6,AliFedotowsky,ChrisH.,27,6,RealEstateDeveloper,11,Brown,Caucasion,7
6,AliFedotowsky,CraigM.,34,6,DentalSales,10,Brown,Caucasion,12
6,AliFedotowsky,TylerV.,25,4,OnlineAdvertising,9,Brown,Caucasion,14
6,AliFedotowsky,Jay,29,4,Lawyer,8,Brown,Caucasion,6
6,AliFedotowsky,Kyle,26,1,Outdoorsman,7,Brown,Caucasion,10
6,AliFedotowsky,JohnN.,27,2,EngineeringSoftwareSales,6,Brown,Hispanic,14
6,AliFedotowsky,TylerM.,25,1,CateringManager,5,Brown,Caucasion,20
6,AliFedotowsky,Derek,27,2,SalesManager,4,Brown,Caucasion,22
6,AliFedotowsky,Phil,30,2,InvestmentManager,3,Blonde,Caucasion,23
6,AliFedotowsky,DerrickShuster,27,1,ConstructionEngineer,2,Brown,Caucasion,24
6,AliFedotowsky,Jason,27,3,ConstructionConsultant,1,Brown,Caucasion,25
7,AshleyHebert,J.P.Rosenbaum,33,4,ConstructionManagement,24,Brown,Caucasion,21
7,AshleyHebert,BenFlajnik,28,1,Winemaker,23,Brown,Caucasion,16
7,AshleyHebert,Constantine,30,3,RestaurantOwner,22,Brown,Caucasion,25
7,AshleyHebert,Ames,30,4,Banker,21,Brown,Caucasion,13
7,AshleyHebert,RyanP.,31,1,SolarEnergyExecutive,20,Brown,Caucasion,1
7,AshleyHebert,Luca,30,3,OilfieldEquiptmentDist.,19,Brown,Caucasion,3
7,AshleyHebert,Blake,27,1,Dentist,18,Blonde,Caucasion,23
7,AshleyHebert,Mickey,31,4,Chef,17,Black,European,5
7,AshleyHebert,Nick,26,3,PersonalTrainer,16,Brown,Caucasion,22
7,AshleyHebert,BenC.,28,3,Lawyer,15,Brown,Caucasion,7
7,AshleyHebert,William,29,2,SalesConsultant,14,Brown,Caucasion,4
7,AshleyHebert,West,30,3,Lawyer,13,Brown,European,10
7,AshleyHebert,Bentley,28,3,InvestmentBanker,12,Brown,Caucasion,24
7,AshleyHebert,ChrisD.,25,2,SportsMarketing,11,Brown,Caucasion,9
7,AshleyHebert,Jeff,35,2,WineOwner,10,Brown,European,15
7,AshleyHebert,Matt,28,4,OfficeSupplySales,9,Brown,Caucasion,14
7,AshleyHebert,Stephen,27,4,Hairstylist,8,Black,Caucasion,8
7,AshleyHebert,Anthony,28,4,Butcher,7,Black,European,11
7,AshleyHebert,ChrisM.,?,6,ConstructionOwner,6,Blonde,Caucasion,19
7,AshleyHebert,Frank,29,1,AssistantDirectorofAdministration,5,Brown,Caucasion,17
7,AshleyHebert,Jon,26,1,CommerceExecutive,4,Blonde,Caucasion,2
7,AshleyHebert,Rob,27,2,TechnologyExecutive,3,Blonde,Caucasion,12
7,AshleyHebert,Micheal,28,4,BusinessDevelopment,2,Brown,Caucasion,18
7,AshleyHebert,Tim,35,4,LiquorDistributor,1,Brown,Caucasion,6
8,EmilyMaynard,JefHolm,27,1,Entrepreneur,25,Brown,Caucasion,11
8,EmilyMaynard,Arie,30,1,RacecarDriver,24,Brown,Caucasion,6
8,EmilyMaynard,SeanLowe,28,3,InsuranceAgent,23,Blonde,Caucasion,1
8,EmilyMaynard,Chris,25,2,CorporateSalesDirector,22,Blonde,Caucasion,8
8,EmilyMaynard,John,30,2,DataDestructionSpecialist,21,Brown,Caucasion,19
8,EmilyMaynard,Doug,33,1,RealEstateAgent,20,Brown,Caucasion,3
8,EmilyMaynard,Travis,30,3,AdvertisingSalesRep,19,Blonde,Caucasion,20
8,EmilyMaynard,Ryan,31,3,Pro-SportsTrainer,18,Brown,Caucasion,24
8,EmilyMaynard,Kalon,27,3,LuxuryBrandConsultant,17,Brown,Caucasion,25
8,EmilyMaynard,Alejandro,25,1,MushroomFarmer,16,Black,Hispanic,23
8,EmilyMaynard,Nate,25,1,Accountant,15,Blonde,Caucasion,17
8,EmilyMaynard,Charlie,32,3,Recruiter,14,Brown,Caucasion,14
8,EmilyMaynard,Michael,26,3,RehabCounselor,13,Brown,Caucasion,21
8,EmilyMaynard,Tony,31,1,LumberTrader,12,Brown,Caucasion,15
8,EmilyMaynard,Alessandro,30,2,GrainMerchant,11,Brown,Caucasion,10
8,EmilyMaynard,Stevie,26,4,PartyM/C,10,Brown,Hispanic,13
8,EmilyMaynard,Kyle,29,1,FinancialAdvisor,9,Brown,Caucasion,7
8,EmilyMaynard,Aaron,36,1,BiologyTeacher,8,Brown,Caucasion,9
8,EmilyMaynard,Joe,27,3,FieldEnergyAdvisor,7,Brown,Caucasion,5
8,EmilyMaynard,Brent,41,1,TechnologySalesman,6,Brown,Caucasion,18
8,EmilyMaynard,David,33,3,Singer/Songwriter,5,Brown,Caucasion,2
8,EmilyMaynard,Jackson,29,2,FitnessModel,4,Brown,Caucasion,4
8,EmilyMaynard,Jean-Paul,35,1,MarineBiologist,3,Brown,Caucasion,22
8,EmilyMaynard,Lerone,29,1,RealEstateAgent,2,Bald,AfricanAmerican,12
8,EmilyMaynard,Randy,30,1,MarketingManager,1,Brown,Caucasion,16
9,DesireeHartsock,ChrisSiegfried,27,1,MortgageBroker,25,Brown,Caucasion,16
9,DesireeHartsock,Drew,27,1,DigitalMarketing,24,Brown,Caucasion,1
9,DesireeHartsock,Brooks,28,1,MarketingConsultant,23,Brown,Caucasion,2
9,DesireeHartsock,ZackW.,31,3,DrillingFluidEngineer,22,Brown,Caucasion,10
9,DesireeHartsock,MichaelG.,33,3,FederalProsecutor,21,Brown,Caucasion,5
9,DesireeHartsock,James,27,2,AdvertisingExecutive,20,Black,Hispanic,11
9,DesireeHartsock,JuanPabloGalavis,31,3,ProfessionalSoccerPlayer,19,Blonde,Hispanic,19
9,DesireeHartsock,Kasey,29,1,AdvertisingExecutive,18,Brown,Hispanic,6
9,DesireeHartsock,Ben,28,3,Entrepreneur,17,Brown,Caucasion,25
9,DesireeHartsock,Bryden,26,1,IraqWarVeteran,16,Brown,Caucasion,4
9,DesireeHartsock,MikeyT.,30,2,PlumbingContractor,15,Brown,Hispanic,8
9,DesireeHartsock,Brad,27,1,Accountant,14,Brown,Caucasion,3
9,DesireeHartsock,ZackK.,28,1,BookPublisher,13,Brown,Caucasion,14
9,DesireeHartsock,Brandon,26,1,PaintingContractor,12,Blonde,Caucasion,20
9,DesireeHartsock,Brian,29,3,FinancialAdvisor,11,Brown,Caucasion,21
9,DesireeHartsock,Dan,30,1,BeverageSalesDirector,10,Brown,Hispanic,24
9,DesireeHartsock,NickM.,27,3,InvestmentAdvisor,9,Brown,Caucasion,23
9,DesireeHartsock,Robert,30,1,AdvertisingEntrepreneur,8,Brown,Caucasion,18
9,DesireeHartsock,Will,28,2,Banker,7,Black,AfricanAmerican,7
9,DesireeHartsock,Diogo,29,1,SkiResortManager,6,Black,Hispanic,15
9,DesireeHartsock,Jonathan,26,3,Lawyer,5,Brown,Caucasion,9
9,DesireeHartsock,Larry,34,1,ERDoctor,4,Brown,Caucasion,12
9,DesireeHartsock,Micah,32,1,LawStudent,3,Brown,Caucasion,22
9,DesireeHartsock,MikeR.,28,3,DentalStudent,2,Black,Hispanic,17
9,DesireeHartsock,NickR.,26,2,Tailor/Magician,1,Brown,European,13
10,AndiDorfman,MarcusGrodd,26,3,RealEstateAgent,?,Brown,Caucasion,?
10,AndiDorfman,BrianOsbourne,31,4,HighschoolBasketballCoach,?,Brown,Caucasion,?
10,AndiDorfman,JoshBauer,29,1,MarketingManager,?,Brown,Caucasion,?
10,AndiDorfman,BrettMelnick,30,4,Hairstylist,?,Brown,Caucasion,?
10,AndiDorfman,JoshMurray,29,3,FinancialServicesRepresentative,?,Black,Hispanic,?
10,AndiDorfman,TasosHernandez,30,1,DJ,?,Brown,Hispanic,?
10,AndiDorfman,EricHill,30,1,DocumentaryFilmmaker,?,Brown,Caucasion,?
10,AndiDorfman,JJOBrien,31,1,ApparelCompanyOwner,?,Brown,Caucasion,?
10,AndiDorfman,MarquelMartin,26,1,UFCSalesCoordinator,?,Black,AfricanAmerican,?
10,AndiDorfman,BradleyWisk,32,2,OperaSinger,?,Black,Caucasion,?
10,AndiDorfman,PatJagodzinski,28,1,AccountSupervisor,?,Brown,Caucasion,?
10,AndiDorfman,DylanPettit,26,4,Accountant,?,Brown,Caucasion,?
10,AndiDorfman,WillBarry,26,4,Musician,?,Brown,Caucasion,?
1,AlexMichel,AmandaMarsh,23,2,EventPlanner,25,Blonde,Caucasion,1
1,AlexMichel,TristaRehn,29,3,PediatricTherapist,24,Blonde,Caucasion,2
1,AlexMichel,Shannon,24,3,OperationsAssistant,23,Brown,Caucasion,3
1,AlexMichel,Kim,24,1,Nanny,22,Blonde,Caucasion,4
1,AlexMichel,Cathy,22,2,PhysicalTherapyStudent,21,Brown,Caucasion,5
1,AlexMichel,Rhonda,28,3,RealEstateAgent,20,Brown,Caucasion,6
1,AlexMichel,LaNease,23,1,Actress,19,Black,AfricanAmerican,7
1,AlexMichel,Christina,28,1,Attorney,18,Blonde,Caucasion,8
1,AlexMichel,Alexa,27,1,SpecialEducation,17,Brown,Caucasion,9
1,AlexMichel,Amy,28,4,ProductionCoordinator,16,Red,Caucasion,10
1,AlexMichel,Angela,24,4,InsuranceRepresentative,15,Brown,Caucasion,11
1,AlexMichel,Tina,27,3,GradStudent,14,Black,Asian,12
1,AlexMichel,Melissa,25,1,Photographer,13,Brown,Caucasion,13
1,AlexMichel,Angelique,27,1,Bartender,12,Red,Caucasion,14
1,AlexMichel,Katie,23,4,PowerToolssales,11,Blonde,Caucasion,15
1,AlexMichel,Rachel,29,4,ElementarySchoolTeacher,10,Blonde,Caucasion,16
1,AlexMichel,Wendi,26,3,TechSpecialist,9,Brown,Caucasion,17
1,AlexMichel,Jill,31,2,RetailManager,8,Brown,Caucasion,18
1,AlexMichel,Kristina,27,1,AdvertiseExecutive,7,Brown,Caucasion,19
1,AlexMichel,Denise,31,1,Doctor,6,Brown,Caucasion,20
1,AlexMichel,Jackie,22,4,Bartender/Manager,5,Blonde,Caucasion,21
1,AlexMichel,Daniella,30,1,Neuropsychologist,4,Brown,Caucasion,22
1,AlexMichel,Amber,29,1,BusinessDevelopmentDirector,3,Blonde,Caucasion,23
1,AlexMichel,Paula,24,4,InsuranceRepresentative,2,Brown,Caucasion,24
1,AlexMichel,Lisa,29,3,Attorney,1,Brown,Caucasion,25
2,AaronBeurge,HeleneEksterowicz,27,4,Psychologist,25,Brown,Caucasion,4
2,AaronBeurge,Brooke,22,3,CollegeStudent,24,Blonde,Caucasion,5
2,AaronBeurge,Gwen,31,4,ExecutiveRecruiter,23,Brown,Caucasion,1
2,AaronBeurge,Angela,27,2,Nurse,22,Blonde,Caucasion,6
2,AaronBeurge,Hayley,28,1,RetailManager,21,Brown,Caucasion,10
2,AaronBeurge,Heather,24,1,MarriageTherapyTrainee,20,Blonde,Caucasion,12
2,AaronBeurge,Shannon,26,4,GraphicArtist,19,Black,AfricanAmerican,25
2,AaronBeurge,Heather,30,3,FlightAttendant,18,Blonde,Caucasion,18
2,AaronBeurge,Kyla,22,1,AirlineSupervisor,17,Blonde,Caucasion,8
2,AaronBeurge,Christi,23,1,FinancialAdvisor,16,Blonde,Caucasion,9
2,AaronBeurge,Frances,30,1,StrategicPlanningAnalyst,15,Brown,Caucasion,3
2,AaronBeurge,Dana,24,1,RadioSales,14,Brown,Caucasion,11
2,AaronBeurge,Anindita,27,4,Attorney,13,Blonde,Caucasion,13
2,AaronBeurge,Suzanne,33,1,FlightAttendant,12,Brown,Caucasion,14
2,AaronBeurge,Erin,25,4,PublicationsQualityControl,11,Blonde,Caucasion,22
2,AaronBeurge,Erin,24,3,InteriorDesign,10,Brown,Caucasion,2
2,AaronBeurge,Amber,26,3,Psychologist,9,Blonde,Caucasion,15
2,AaronBeurge,Merrilee,28,4,FirstGradeTeacher,8,Black,AfricanAmerican,16
2,AaronBeurge,Christy,24,1,RadiologicalTechnologist,7,Brown,Caucasion,17
2,AaronBeurge,Susie,28,3,CommunicationSpecialist,6,Brown,Caucasion,19
2,AaronBeurge,Liangy,30,3,Paralegal,5,Black,Asian,20
2,AaronBeurge,Camille,29,1,Actress,4,Brown,Caucasion,21
2,AaronBeurge,Cari,29,2,ThirdGradeTeacher,3,Blonde,Caucasion,23
2,AaronBeurge,Fatima,22,1,CollegeStudent,2,Brown,Caucasion,24
2,AaronBeurge,Lori,26,3,NBACheerleader,1,Blonde,Caucasion,7
3,AndrewFirestone,JenniferScheft,26,2,AccountExecutive,25,Blonde,Caucasion,24
3,AndrewFirestone,Kirsten,23,3,Merchant/Shoppingnetwork,24,Brown,Caucasion,21
3,AndrewFirestone,TinaP,22,2,Student,23,Blonde,Caucasion,1
3,AndrewFirestone,ChristinaC,30,4,PharmaceuticalSales,22,Brown,Caucasion,5
3,AndrewFirestone,Liz,23,2,EventMarketing,21,Black,Caucasion,2
3,AndrewFirestone,Anne-Michelle,25,1,Bartender/Actress,20,Blonde,Caucasion,20
3,AndrewFirestone,Amber,23,3,Sales/AccountExecutive,19,Blonde,Caucasion,10
3,AndrewFirestone,Heather,22,4,Student,18,Brown,Caucasion,16
3,AndrewFirestone,TinaS,26,3,EventPlanner,17,Brown,Caucasion,19
3,AndrewFirestone,Audree,26,1,Hairstylist,16,Blonde,Caucasion,11
3,AndrewFirestone,Rachel,21,3,FlightAttendant,15,Blonde,Caucasion,18
3,AndrewFirestone,Shannon,26,4,HumanResources,14,Brown,Caucasion,22
3,AndrewFirestone,Elizabeth,24,2,ChildLifeSpecialist,13,Brown,Caucasion,3
3,AndrewFirestone,Christina,24,3,Realtor/MakeupArtist,12,Blonde,Caucasion,6
3,AndrewFirestone,AmyP,29,3,MassageTherapist,11,Blonde,Caucasion,15
3,AndrewFirestone,AmyG,24,4,GraphicDesigner,10,Brown,Caucasion,9
3,AndrewFirestone,Brooke,21,3,Model,9,Blonde,Caucasion,12
3,AndrewFirestone,Courtney,24,1,AdministrativeSalesAssistant,8,Black,Asian,17
3,AndrewFirestone,JenniferB,22,3,Pharmacist,7,Blonde,Caucasion,23
3,AndrewFirestone,Kristen,29,2,RealEstate,6,Blonde,Caucasion,8
3,AndrewFirestone,Kerri,25,3,CorporateRecruiter,5,Brown,Caucasion,13
3,AndrewFirestone,Angela,25,4,MarketingDirector,4,Blonde,Caucasion,14
3,AndrewFirestone,Ginny,25,2,Waitress,3,Black,Caucasion,7
3,AndrewFirestone,Stephanie,21,3,Waitress,2,Blonde,Caucasion,4
3,AndrewFirestone,Tiffany,26,2,MansionCaretaker,1,Blonde,Caucasion,25
4,BobGuiney,EstellaGardinier,27,1,MortgageBroker,25,Black,Caucasion,17
4,BobGuiney,KellyJo,23,2,CommunityRelations,24,Brown,Caucasion,11
4,BobGuiney,Mary,35,3,SalesManager,23,Brown,Caucasion,15
4,BobGuiney,MeredithPhillips,29,1,Makeup/Model,22,Brown,Caucasion,25
4,BobGuiney,Lee-Ann,24,3,SecondGradeTeacher,21,Brown,Caucasion,6
